date,min,max
1/1/2023,-3.4,1.2
2/1/2023,-2.8,-0.1
3/1/2023,-2.5,6.4
4/1/2023,0.5,7.5
5/1/2023,-0.2,4.2
6/1/2023,1.7,8
7/1/2023,5.9,9.5
8/1/2023,5.6,8.4
9/1/2023,4.1,9.4
10/1/2023,5.1,7.8
11/1/2023,5.2,7.9
12/1/2023,4.3,6
13/1/2023,0,5.6
14/1/2023,-1.4,5.1
15/1/2023,1.6,3.9
16/1/2023,-0.3,3.3
17/1/2023,0.1,3
18/1/2023,-0.3,2.4
19/1/2023,-3,1.2
20/1/2023,-4.4,-0.1
21/1/2023,-3.6,3
22/1/2023,0.6,3
23/1/2023,0.5,4.7
24/1/2023,4.8,7.4
25/1/2023,5,8.4
26/1/2023,-0.8,5.2
27/1/2023,-1.1,3.9
28/1/2023,3.4,6.1
29/1/2023,4.5,8.5
30/1/2023,0.4,5.3
31/1/2023,0.3,5.9
1/2/2023,0.4,5.8
2/2/2023,-1.4,3.7
3/2/2023,-0.5,5.8
4/2/2023,-0.3,3.8
5/2/2023,1.6,5.9
6/2/2023,5,7
7/2/2023,5.2,7
8/2/2023,6,7.7
9/2/2023,0.5,6.4
10/2/2023,0.2,8.9
11/2/2023,6.4,8.5
12/2/2023,7,8.1
13/2/2023,5.9,8.1
14/2/2023,4.9,6.1
15/2/2023,4.8,9.6
16/2/2023,3.7,7
17/2/2023,2.3,7
18/2/2023,-0.2,2.6
19/2/2023,-0.3,5.9
20/2/2023,4.4,8.9
21/2/2023,4.5,6.7
22/2/2023,2.3,6.1
23/2/2023,-0.2,3.4
24/2/2023,1.1,4.3
25/2/2023,0.3,3.8
26/2/2023,0.5,5.5
27/2/2023,0,7.1
28/2/2023,0.3,7.3
1/3/2023,1.8,8.5
2/3/2023,-0.4,7
3/3/2023,-0.4,6
4/3/2023,-1.6,2.4
5/3/2023,-4.1,1.7
6/3/2023,-4.4,1.3
7/3/2023,-4.3,1.7
8/3/2023,-5.1,-1.3
9/3/2023,-8.3,-0.6
10/3/2023,-8.3,-0.1
11/3/2023,-5,-0.6
12/3/2023,-4.7,3.3
13/3/2023,1.6,4
14/3/2023,-1.5,3.2
15/3/2023,-1.9,4.7
16/3/2023,-2.1,4.6
17/3/2023,3.6,7
18/3/2023,0.9,8.5
19/3/2023,3.3,7.2
20/3/2023,1.2,6.4
21/3/2023,1.1,7.2
22/3/2023,4.8,8.1
23/3/2023,5.6,8.7
24/3/2023,4.4,8.1
25/3/2023,1.5,6.9
26/3/2023,-0.7,4.2
27/3/2023,-0.4,5.1
28/3/2023,-0.7,3.1
29/3/2023,0.2,7
30/3/2023,1.8,5.8
31/3/2023,2.1,10.4
1/4/2023,0,7.8
2/4/2023,0.2,8.9
3/4/2023,2.4,7
4/4/2023,1.7,9
5/4/2023,3.6,9.2
6/4/2023,2.2,6.6
7/4/2023,2.5,11.2
8/4/2023,1.5,11.2
9/4/2023,5.8,9.6
10/4/2023,8,11.5
11/4/2023,5.6,11.9
12/4/2023,5.6,11.9
13/4/2023,8,12.3
14/4/2023,7.2,12.3
15/4/2023,4.5,12.3
16/4/2023,3.1,11.9
17/4/2023,4.7,13.5
18/4/2023,5.1,15.3
19/4/2023,5.5,15.7
20/4/2023,6.4,16.8
21/4/2023,6.2,15.9
22/4/2023,5.9,15.5
23/4/2023,6.6,12.1
24/4/2023,3.5,7
25/4/2023,3.4,6.7
26/4/2023,2,6.4
27/4/2023,1.4,7
28/4/2023,0.9,6.2
29/4/2023,0.7,6.2
30/4/2023,2,5.9
1/5/2023,2.6,6.9
2/5/2023,2.1,8.4
3/5/2023,3.6,9.6
4/5/2023,2.3,10.9
5/5/2023,2.9,12.7
6/5/2023,4.1,14.6
7/5/2023,4.7,15.5
8/5/2023,10.9,15.4
9/5/2023,10.1,15.3
10/5/2023,9.4,11.7
11/5/2023,9.4,13.2
12/5/2023,7.7,13.9
13/5/2023,7.3,12.6
14/5/2023,7.5,16.8
15/5/2023,6.7,9.6
16/5/2023,3,9.5
17/5/2023,2.9,7.9
18/5/2023,4.9,11.2
19/5/2023,8.4,13
20/5/2023,7,15.1
21/5/2023,5.6,17.4
22/5/2023,7.1,16.3
23/5/2023,6.8,12.6
24/5/2023,7.8,11.2
25/5/2023,7.2,10.8
26/5/2023,7,11.6
27/5/2023,7,9.6
28/5/2023,5.2,9.2
29/5/2023,4.9,9.4
30/5/2023,8.2,11.8
